country,project_name,year,status,lendprojectcost,boardapprovaldate
Kenya,Development of The National Statistical System Project,2007,Closed,"50,500,000",2007-03-20T00:00:00Z
Lebanon,West Beka'a Emergency Water Supply Project,2007,Closed,"15,000,000",2007-03-20T00:00:00Z
Lebanon,LB-EMERGENCY POWER SECTOR REFORM CAPACITY REINFORCEMENT,2007,Closed,"8,000,000",2007-03-19T00:00:00Z
Mongolia,MONGOLIA: EDUCATION FOR ALL FAST TRACK INITIATIVE (EFA-FTI) CATALYTIC TRUST FUND,2007,Closed,"8,200,000",2007-03-16T00:00:00Z
Colombia,Additional Financing for Colombia Social Safety Net Project (Ln. 7337),2007,Closed,"145,100,000",2007-03-15T00:00:00Z
Bolivia,Pilot Project of Millenium Development Goals for Municipal Management,2007,Closed,"120,000",2007-03-15T00:00:00Z
Colombia,La Guajira Water & Sanitation Infrastructure and Service Management Project,2007,Closed,"158,200,000",2007-03-15T00:00:00Z
Vietnam,VN-Avian & Human Influenza Control &Prep,2007,Closed,"38,000,000",2007-03-13T00:00:00Z
Philippines,National Program Support for Tax Administration Reform.,2007,Closed,"11,000,000",2007-03-13T00:00:00Z
Jordan,JO - Amman East Power Plant,2007,Closed,"375,000,000",2007-03-13T00:00:00Z
Tunisia,Tunisia:  Sustainable Municipal Solid Waste Management Project,2007,Closed,"27,400,000",2007-03-13T00:00:00Z
China,Shaanxi Ankang Road Development,2007,Closed,"735,000,000",2007-03-13T00:00:00Z
Armenia,Health System Modernization Project (APL2) in Support of the Second Phase of the Health Sector Reform Program,2007,Closed,"29,620,000",2007-03-08T00:00:00Z
Haiti,Haiti Catastrophe Insurance,2007,Closed,"9,000,000",2007-03-08T00:00:00Z
,OECS-Catastrophe Insurance,2007,Closed,"14,200,000",2007-03-08T00:00:00Z
Ethiopia,Second Multi-sectoral HIV/AIDS Project,2007,Closed,"30,000,000",2007-03-08T00:00:00Z
Armenia,Judicial Reform Project 2,2007,Closed,"32,690,000",2007-03-08T00:00:00Z
Armenia,PRSC3,2007,Closed,"28,000,000",2007-03-08T00:00:00Z
Mali,PRSC 1,2007,Closed,"45,000,000",2007-03-06T00:00:00Z
Guatemala,EDUCATION QUALITY AND SECONDARY EDUCATION,2007,Closed,"100,000,000",2007-03-06T00:00:00Z
Chad,Urban Development Project,2007,Closed,"27,000,000",2007-03-06T00:00:00Z
Indonesia,ID-TF KDP AND ENVIRONMENT IN SULAWESI,2007,Active,"9,800,000",2007-03-02T00:00:00Z
Dominica,Growth and Social Protection Technical Assistance Credit,2007,Closed,"2,600,000",2007-02-27T00:00:00Z
China,CN-GEF-Second Shandong Environment Project,2007,Closed,"5,400,000",2007-02-27T00:00:00Z
China,SECOND SHANDONG ENVIRONMENT PROJECT,2007,Closed,"281,110,000",2007-02-27T00:00:00Z
Uganda,UG-Avian Flu Rapid Assessment (FY07),2007,Closed,"100,000",2007-02-26T00:00:00Z
Djibouti,DJ-FLOOD EMERGENCY REHAB ADD. GRANT,2007,Closed,"2,000,000",2007-02-22T00:00:00Z
Albania,Land Administration and Management Project (LAMP),2007,Closed,"56,000,000",2007-02-22T00:00:00Z
Afghanistan,Afghanistan PSD Support Project,2007,Closed,"25,000,000",2007-02-22T00:00:00Z
Nepal,Second Higher Education Project,2007,Closed,"79,610,000",2007-02-22T00:00:00Z
Albania,TRANSPORT PROJECT,2007,Closed,"56,000,000",2007-02-22T00:00:00Z
Sri Lanka,Sri Lanka: Puttalam Housing Project,2007,Closed,"34,200,000",2007-02-20T00:00:00Z
Mauritania,MR- Avian Flu Rapid Assessment,2007,Closed,"30,000",2007-02-20T00:00:00Z
Burundi,Education Sector Reconstruction Project,2007,Closed,"20,000,000",2007-02-20T00:00:00Z
Philippines,Northern Negros Geothermal Power Project,2007,Active,"6,760,000",2007-02-16T00:00:00Z
Russian Federation,Judicial Reform Support Project,2007,Closed,"172,410,000",2007-02-15T00:00:00Z
Indonesia,Farmer Empowerment through Agricultural Technology and Information,2007,Closed,"123,000,000",2007-02-13T00:00:00Z
Pakistan,Additional Financing for Rehabilitating Earthquake Affected Communities II,2007,Closed,"138,000,000",2007-02-13T00:00:00Z
Afghanistan,AF: ARTF-Management Capacity Program,2007,Closed,"10,000,000",2007-02-13T00:00:00Z
Tanzania,Water Sector Support Project,2007,Closed,"951,000,000",2007-02-13T00:00:00Z
Argentina,AR Santa Fe Road Infrastructure,2007,Closed,"173,100,000",2007-02-13T00:00:00Z
Brazil,State Pension Reform II TAL,2007,Closed,"10,000,000",2007-02-13T00:00:00Z
Bhutan,Bhutan Trust Fund for Statistical Capacity Building,2007,Closed,"540,000",2007-02-09T00:00:00Z
Colombia,CO: Caribbean Savannah Carbon Sink project,2007,Closed,"2,600,000",2007-02-07T00:00:00Z
Uganda,Uganda Water Small Towns and RGCs,2007,Closed,"3,200,000",2007-02-07T00:00:00Z
"Yemen, Rep.",Strengthening the Integrated National Program (INP) for the Prevention and Control of Avian and Human Influenza,2007,Closed,"60,000",2007-02-05T00:00:00Z
Kosovo,Avian Influenza Control and Human Pandemic Preparedness and Response Project,2007,Closed,"3,000,000",2007-02-01T00:00:00Z
Nigeria,Community-based Poverty Reduction Project Supplemental,2007,Closed,"30,000,000",2007-02-01T00:00:00Z
Rwanda,Multi-Sectoral HIV/AIDS Project - Additional Financing,2007,Closed,"10,000,000",2007-02-01T00:00:00Z
Kazakhstan,Ust-Kamenogorsk Environmental Remediation Project,2007,Closed,"40,090,000",2007-02-01T00:00:00Z
,Accelerated Data Program,2007,Closed,"200,000",2007-01-31T00:00:00Z
Haiti,Haiti Economic Governance Reform Operation II,2007,Closed,"23,000,000",2007-01-30T00:00:00Z
Sierra Leone,Freetown Water Supply Rehabilitation,2007,Closed,"8,230,000",2007-01-30T00:00:00Z
Cote d'Ivoire,Support to the safeguard and modernization of civil registry,2007,Closed,"2,250,000",2007-01-30T00:00:00Z
Haiti,HT Rural Water and Sanitation Project,2007,Closed,"5,250,000",2007-01-30T00:00:00Z
Jordan,Jordan - Cultural Heritage; Tourism & Urban Development,2007,Closed,"71,080,000",2007-01-30T00:00:00Z
Morocco,Morocco Urban WS&S Access Pilots,2007,Closed,"7,000,000",2007-01-29T00:00:00Z
Mozambique,PRSC 3,2007,Closed,"70,000,000",2007-01-25T00:00:00Z
Mozambique,ProMaputo; Maputo Municipal Development Program,2007,Closed,"44,450,000",2007-01-25T00:00:00Z
Pakistan,Land Records Management and Information Systems Project (LRMIS-P) Province of Punjab,2007,Closed,"51,260,000",2007-01-25T00:00:00Z
Argentina,Additional Financing Argentina Provincial Agricultural Development Project - Ln. 7425-0 AR,2007,Closed,"44,800,000",2007-01-23T00:00:00Z
China,Third National Railway Project,2007,Closed,"1,165,600,000",2007-01-23T00:00:00Z
Mali,ML-BioCarbon Fund MASPP & Biomass (FY06),2007,Active,0,2007-01-23T00:00:00Z
India,IN Tamil Nadu Irrig Agr Moderniz Water-Bodies Restor Management,2007,Closed,"566,000,000",2007-01-23T00:00:00Z
Vietnam,Public Private Partnership Handwashing Initiatives,2007,Closed,"610,000",2007-01-22T00:00:00Z
Nepal,Avian Influenza Control Project,2007,Closed,"18,200,000",2007-01-19T00:00:00Z
Brazil,BR Lages Woodwaste Cogeneration,2007,Closed,"28,000,000",2007-01-18T00:00:00Z
Togo,National Strategy for the Development of Statistics (NSDS),2007,Closed,"90,000",2007-01-17T00:00:00Z
China,Capacity Building for Highly Pathogenic Avian Influenza Prevention and Human Influenza Pandemic Preparedness,2007,Closed,"2,650,000",2007-01-16T00:00:00Z
World,Global Development Awards and Medals,2007,Closed,"190,000",2007-01-16T00:00:00Z
Afghanistan,Avian Influenza Control and Human Pandemic Preparedness and Response Project,2007,Closed,"8,000,000",2007-01-11T00:00:00Z
India,Third Andhra Pradesh Economic Reform Loan/Credit,2007,Closed,"225,000,000",2007-01-11T00:00:00Z
Bosnia and Herzegovina,COMMUNITY DEV ADDT'L FIN,2007,Closed,"6,000,000",2007-01-09T00:00:00Z
Ethiopia,Productive Safety Nets APL II,2007,Closed,"1,040,100,000",2007-01-09T00:00:00Z
Sri Lanka,Community Peace Councils/Deshodaya Fora for Sri Lanka,2007,Closed,"370,000",2007-01-04T00:00:00Z
Sri Lanka,The FCE Human Security Program:  Providing early warning and implementing rapid response by collecting info on local level conflicts,2007,Closed,"220,000",2007-01-04T00:00:00Z
Sri Lanka,Effective; Safe and Sustainable Humanitarian Assistance and Dvt Cooperation of Agencies in SL: Mainstreaming Conflict Sensitivity,2007,Closed,"490,000",2007-01-04T00:00:00Z
Sri Lanka,Study of Politics of State Reform,2007,Closed,"150,000",2007-01-04T00:00:00Z
Sri Lanka,Poverty and Conflict Program,2007,Closed,"60,000",2007-01-04T00:00:00Z
Sri Lanka,Enabling Civil Society to Influence the Process of Negotiations in Sri Lanka,2007,Closed,"250,000",2007-01-04T00:00:00Z
Russian Federation,Ozone-Depleting Substances Production Phase-Out Technical Assistance GEF Project,2006,Closed,"26,200,000",2006-12-29T00:00:00Z
"Congo, Dem. Rep.",Capacity Building European Union,2006,Closed,"8,530,000",2006-12-29T00:00:00Z
Central African Republic,CAR - LICUS Project,2006,Closed,"960,000",2006-12-29T00:00:00Z
Indonesia,Yogyakarta and Central Java Earthquake Roof Structure Project,2006,Closed,"6,640,000",2006-12-22T00:00:00Z
,Stregthening of the Southern Agricultural Council (Consejo Agropecuario del Sur) CAS for Avian Flu Preparedness,2006,Closed,"500,000",2006-12-22T00:00:00Z
Indonesia,ID SPADA in Aceh and Nias,2006,Closed,"25,000,000",2006-12-22T00:00:00Z
Philippines,Development Policy Loan,2006,Closed,"250,000,000",2006-12-21T00:00:00Z
Comoros,Additional Financing for the Services Support Credit,2006,Closed,"5,000,000",2006-12-21T00:00:00Z
Indonesia,Indonesia:  Streamlining Data Flows from Regions to the Center under Decentralization,2006,Closed,"210,000",2006-12-21T00:00:00Z
Brazil,BR AF for the Federal Water Resources Management Project,2006,Closed,"200,000,000",2006-12-19T00:00:00Z
Indonesia,Third Development Policy Loan,2006,Closed,"600,000,000",2006-12-19T00:00:00Z
Uruguay,Uruguay Additional Financing Foot & Mouth Disease Emergency Recovery Loan - Ln. 7421-0 UY,2006,Closed,"9,550,000",2006-12-19T00:00:00Z
Peru,Fiscal Management and Competitiveness Development Policy Loan,2006,Closed,"200,000,000",2006-12-19T00:00:00Z
Tajikistan,Additional Financing for the  Dushanbe Water Supply Project,2006,Closed,"5,700,000",2006-12-19T00:00:00Z
Cabo Verde,HIV/AIDS MAP Supplemental,2006,Closed,"5,500,000",2006-12-19T00:00:00Z
Mongolia,MN- Renewable Energy for Rural Access - GEF,2006,Closed,"18,000,000",2006-12-19T00:00:00Z
,Jordan; WBG; Israel; Egypt -Sub regional initiative for Avian Influenza,2006,Closed,"980,000",2006-12-19T00:00:00Z
West Bank and Gaza,GZ-Integrated Community Development Supplemental,2006,Closed,"5,000,000",2006-12-19T00:00:00Z
Peru,Peru Decentralized Rural Transport Project,2006,Closed,"150,000,000",2006-12-19T00:00:00Z
West Bank and Gaza,Palestinian NGO Project  III,2006,Closed,"17,600,000",2006-12-19T00:00:00Z
Mongolia,Renewable Energy for Rural Access Project (REAP),2006,Closed,"12,000,000",2006-12-19T00:00:00Z
North Macedonia,Sustainable Energy GEF Project,2006,Closed,"8,200,000",2006-12-19T00:00:00Z
Vietnam,Coastal Cities Environmental Sanitation Project,2006,Closed,"172,100,000",2006-12-19T00:00:00Z
West Bank and Gaza,Emergency Municipal Services (Rehab. II),2006,Closed,"40,200,000",2006-12-19T00:00:00Z
Jordan,Regional and Local Development Project,2006,Closed,"48,300,000",2006-12-19T00:00:00Z
Niger,Carbon Sequestration and Rural Livelihoods Improvements through Acacia Plantations,2006,Active,"100,000",2006-12-18T00:00:00Z
Serbia,Regulatory Impact Analysis (RIA),2006,Closed,"1,790,000",2006-12-18T00:00:00Z
Latin America & Caribbean,COMplus,2006,Closed,"1,080,000",2006-12-18T00:00:00Z
Iraq,Iraq-Emergency Environment Management Project,2006,Closed,"5,000,000",2006-12-18T00:00:00Z
Indonesia,Indonesia-Avian and Human Influenza Control and Preparedness,2006,Closed,"15,000,000",2006-12-15T00:00:00Z
Sierra Leone,Programmatic Governance Reform & Growth,2006,Closed,"10,000,000",2006-12-14T00:00:00Z
Guatemala,LAND ADMINISTRATION II APL,2006,Closed,"64,300,000",2006-12-14T00:00:00Z
China,Guangxi Integrated Forestry Development and Conservation Project,2006,Closed,"7,020,000",2006-12-14T00:00:00Z
China,Guangxi Integrated Forestry Development and Conservation Project,2006,Closed,"197,580,000",2006-12-14T00:00:00Z
India,IN Punjab Rural Water Supply and Sanitation,2006,Closed,"261,400,000",2006-12-14T00:00:00Z
Mauritius,Mauritius Development Policy Loan,2006,Closed,"30,000,000",2006-12-12T00:00:00Z
Nigeria,Malaria Control Booster Project,2006,Closed,"260,000,000",2006-12-12T00:00:00Z
Iraq,Dokan and Derbandikhan Emergency Hydro Power Project,2006,Closed,"40,000,000",2006-12-12T00:00:00Z
Morocco,National Initiative for Human Development Support Project (INDH),2006,Closed,"1,000,000,000",2006-12-12T00:00:00Z
Brazil,BR APL 1 Para Integrated Rural Dev,2006,Closed,"100,000,000",2006-12-12T00:00:00Z
Mexico,MEXICO - Wind Umbrella,2006,Active,"72,290,000",2006-12-12T00:00:00Z
Indonesia,Aceh Infrastructure Reconstruction Financing Facility (IRFF),2006,Closed,"291,000,000",2006-12-11T00:00:00Z
Afghanistan,Afghanistan: Emergency National Solidarity Project II,2006,Closed,"120,000,000",2006-12-07T00:00:00Z
Rwanda,Third Poverty Reduction Strategy Grant,2006,Closed,"50,000,000",2006-12-07T00:00:00Z
Kenya,Kenya Microfinance for Water Services Project,2006,Closed,"1,150,000",2006-12-06T00:00:00Z
Georgia,First East-West Highway Improvement,2006,Closed,"28,340,000",2006-12-05T00:00:00Z
Uruguay,Uruguay - Montevideo Landfill Gas Recovery Project,2006,Closed,"7,000,000",2006-12-05T00:00:00Z
Colombia,Second Programmatic Business Product and Efficiency Development Policy Loan,2006,Closed,"300,000,000",2006-12-05T00:00:00Z
India,Punjab State Road Sector Project,2006,Closed,"400,000,000",2006-12-05T00:00:00Z
North Macedonia,Road to Europe: Program of Accounting Reform and Institutional Strengthening (REPARIS),2006,Closed,"5,760,000",2006-12-05T00:00:00Z
Sierra Leone,SL- Avian Flu Rapid Assessment,2006,Closed,"90,000",2006-11-29T00:00:00Z
Central African Republic,Development Policy Operation DPO I  FY07,2006,Closed,"82,000,000",2006-11-28T00:00:00Z
Vanuatu,Utility Regulatory Authority,2006,Closed,"900,000",2006-11-28T00:00:00Z
Liberia,Liberia- Avian Flu Rapid Assessment,2006,Closed,"90,000",2006-11-28T00:00:00Z
Burundi,Burundi - Statistical Capacity Building,2006,Closed,"200,000",2006-11-28T00:00:00Z
Belarus,Persistant Organic Pollutants (POPs) Environmental Assessment TA GEF Partnership,2006,Closed,"500,000",2006-11-24T00:00:00Z
Haiti,Port-au-Prince Area Community Driven Development Pilot Project (PCF) / PRODEPAP,2006,Closed,"2,500,000",2006-11-22T00:00:00Z
Madagascar,Madagascar Biodiversity Corridor Carbon Finance Project,2006,Closed,"820,000",2006-11-22T00:00:00Z
Madagascar,Second Community Nutrition-Additional Financing,2006,Closed,"15,000,000",2006-11-21T00:00:00Z
Bolivia,Bolivia Urban Infrastructure Project,2006,Closed,"30,000,000",2006-11-21T00:00:00Z
Argentina,AR- Essential Public Health Functions,2006,Closed,"950,000,000",2006-11-21T00:00:00Z
Liberia,Liberia Public Financial Management Capacity Building,2006,Closed,"2,500,000",2006-11-15T00:00:00Z
Georgia,Education System Realignment & Strengthening Program (APL #2),2006,Closed,"23,730,000",2006-11-15T00:00:00Z
Kenya,BioCF Kenya Greenbelt Movement,2006,Closed,"2,200,000",2006-11-15T00:00:00Z
Kenya,Kenya KenGen Carbon Finance umbrella,2006,Closed,0,2006-11-14T00:00:00Z
Brazil,Bahia Integrated State Highway Management Project,2006,Closed,"200,000,000",2006-11-14T00:00:00Z
Croatia,TRADE AND TRANSPORT INTEGRATION,2006,Closed,"116,620,000",2006-11-14T00:00:00Z
Nepal,Nepal Poverty Alleviation Fund II Supplemental,2006,Closed,"25,000,000",2006-11-14T00:00:00Z
Madagascar,Irrigation and Watershed Management Project,2006,Closed,"34,400,000",2006-11-14T00:00:00Z
Europe & Central Asia,Geothermal Energy Development Program (GeoFund): 1st tranche,2006,Closed,"4,530,000",2006-11-14T00:00:00Z
Liberia,Liberia Infrastructure Rehabilitation Project,2006,Closed,"8,500,000",2006-11-13T00:00:00Z
Mongolia,Strengthening Institutional Statistical System,2006,Closed,"200,000",2006-11-13T00:00:00Z
Senegal,Nutrition Enhancement Program II,2006,Closed,"42,400,000",2006-11-13T00:00:00Z
South Sudan,Institutional and Human Development in South Sudan,2006,Closed,"13,730,000",2006-11-07T00:00:00Z
South Sudan,SD - Livestock and Fisheries Development Project - MDTF,2006,Closed,"29,700,000",2006-11-07T00:00:00Z
Kenya, Education Sector Support Program,2006,Closed,"1,084,000,000",2006-11-07T00:00:00Z
Nicaragua,NI POVERTY REDUCTION SUPPORT CREDIT II,2006,Closed,"25,000,000",2006-11-07T00:00:00Z
Sudan,South Sudan Justice Support Project,2006,Closed,"13,280,000",2006-11-07T00:00:00Z
Bosnia and Herzegovina,Bosnia and Herzegovina - Support to Economic Policy and Planning Unit - Council of Ministers,2006,Closed,"190,000",2006-11-06T00:00:00Z
Lebanon,LB - Municipal Infrastructure,2006,Closed,"30,000,000",2006-11-03T00:00:00Z
Benin,THIRD POVERTY REDUCTION SUPPORT CREDIT,2006,Closed,"30,000,000",2006-11-02T00:00:00Z
Romania,TRANSPORT SECTOR SUPPORT PROJECT,2006,Closed,"225,000,000",2006-11-02T00:00:00Z
Argentina,AR Provincial Maternal-Child Health Investment APL 2,2006,Closed,"300,000,000",2006-11-02T00:00:00Z
Iraq,ESCRP - Additional Financing,2006,Closed,"6,000,000",2006-10-31T00:00:00Z
Sudan,Sudan Multi-donor Trust Fund for Decentralized Health System Development Project,2006,Closed,"19,000,000",2006-10-30T00:00:00Z
South Sudan,Rural Water Supply and Sanitation,2006,Closed,"30,000,000",2006-10-27T00:00:00Z
China,China-PCF-CDCF Hubei Guangrun Hydropower,2006,Active,"4,600,000",2006-10-27T00:00:00Z
China,CN-CF-Inner Mongolia Huitengxile Wind F,2006,Closed,"13,700,000",2006-10-27T00:00:00Z
Indonesia,ID-KDP Nias,2006,Closed,"51,500,000",2006-10-26T00:00:00Z
Liberia,EIP Supplemental Component,2006,Closed,"16,500,000",2006-10-26T00:00:00Z
Uzbekistan,BASIC EDUCATION; Phase I,2006,Closed,"15,100,000",2006-10-26T00:00:00Z
Armenia,Social Investment Fund III,2006,Closed,"33,300,000",2006-10-26T00:00:00Z
Albania,Business Environment Reform and Institutional Strengthening,2006,Closed,"9,800,000",2006-10-26T00:00:00Z
Central African Republic,Central African Republic - LICUS Trust Fund Grant for Interim Support to HIV/AIDS Treatment,2006,Closed,"400,000",2006-10-25T00:00:00Z
Ghana,Ghana: Extractive Industries Transparency Initiative Implementation,2006,Closed,"250,000",2006-10-24T00:00:00Z
Jordan,Jordan - Development of the Statistical Master Plan,2006,Closed,"70,000",2006-10-23T00:00:00Z
Bangladesh,Railway Reform Programmatic Development Policy Credit,2006,Closed,"40,000,000",2006-10-19T00:00:00Z
Brazil,Additional Financing for the Rural Poverty Reduction Project - Pernambuco,2006,Closed,"40,000,000",2006-10-19T00:00:00Z
Moldova,Poverty Reduction Support Credit (PRSC),2006,Closed,"10,000,000",2006-10-19T00:00:00Z
Lesotho,Lesotho Integrated Transport Project,2006,Closed,"38,200,000",2006-10-19T00:00:00Z
Sierra Leone,Reproductive and Child Health - Phase I,2006,Closed,"6,000,000",2006-10-13T00:00:00Z
Kosovo,Lignite Power Technical Assistance Project,2006,Closed,"10,500,000",2006-10-12T00:00:00Z
China,Fujian Highway Sector Investment,2006,Closed,"1,490,000,000",2006-10-12T00:00:00Z
Georgia,PRSO 2,2006,Closed,"20,000,000",2006-10-12T00:00:00Z
,ENSAP (Eastern Nile Subsidiary Action Program) Facilitation,2006,Closed,"2,580,000",2006-10-12T00:00:00Z
Central African Republic,Licus grant in support of CDD activities,2006,Closed,"2,700,000",2006-10-10T00:00:00Z
Central African Republic,CAR - LICUS for support to Community-Driven Development and Social Sector Project,2006,Closed,"50,000",2006-10-10T00:00:00Z
Central African Republic,CAR: LICUS II Project,2006,Closed,"2,770,000",2006-10-10T00:00:00Z
Panama,Public Finance and Institutional Development Policy Loan,2006,Closed,"60,000,000",2006-10-05T00:00:00Z
Zambia,Water Sector Performance Improvement Project,2006,Closed,"23,000,000",2006-10-05T00:00:00Z
Mexico,Hybrid Solar Thermal Power Plant,2006,Closed,"49,350,000",2006-10-05T00:00:00Z
Sao Tome and Principe,Sao Tome and Principe Statistical Capacity Building and National Strategy for Development of Statistics,2006,Closed,"160,000",2006-10-04T00:00:00Z
Zambia,Avian Influenza Prevention and Control,2006,Closed,"1,000,000",2006-09-26T00:00:00Z
India,Technical Assistance for Infrastructure PPPs,2006,Closed,"450,000",2006-09-23T00:00:00Z
Lebanon,Establishment of the Fund for National Reconstruction,2006,Closed,"1,030,000",2006-09-22T00:00:00Z
West Bank and Gaza,Avian Influenza Prevention and Control Project,2006,Closed,"3,000,000",2006-09-22T00:00:00Z
West Bank and Gaza,Emergency Services Support Program Multi-Donor Trust Fund,2006,Closed,"62,000,000",2006-09-18T00:00:00Z
Ukraine,Hydropower Rehabilitation Proto-Carbon Finance Project,2006,Closed,"5,500,000",2006-09-15T00:00:00Z
Romania,Avian Influenza Control & Human Pandemic Preparedness & Response Project,2006,Closed,"47,700,000",2006-09-08T00:00:00Z
West Bank and Gaza,Avian and Human Influenza Prevention and Control Project,2006,Closed,"10,000,000",2006-09-07T00:00:00Z
China,Sichuan Urban Development Project,2006,Closed,"399,870,000",2006-09-07T00:00:00Z
Djibouti,Avian Influenza and Human Pandemic Preparedness,2006,Closed,"2,110,000",2006-09-07T00:00:00Z
Rwanda,eRwanda Project,2006,Closed,"10,000,000",2006-09-07T00:00:00Z
Caribbean small states,CARIB-GEF-Implementation of Adaptation Measures in Coastal Zones,2006,Closed,"5,470,000",2006-09-07T00:00:00Z
Liberia,Development Forestry Sector Management Project,2006,Closed,"2,000,000",2006-09-06T00:00:00Z
South Sudan,Core Fiduciary Systems Support Project (TF056336),2006,Closed,"11,150,000",2006-09-06T00:00:00Z
India,IN Uttarakhand Water Supply and Sanitation Project,2006,Closed,"224,000,000",2006-09-05T00:00:00Z
China,DM06-1333 Musseling-in on Pollution&#160;,2006,Closed,"190,000",2006-09-01T00:00:00Z
"Gambia, The",Community-Driven Development Project,2006,Closed,"19,000,000",2006-08-31T00:00:00Z
East Asia & Pacific (IDA & IBRD countries),TF051602 - JSDF-EAST ASIA: ASEAN SCHOOL NET,2006,Closed,"1,960,000",2006-08-31T00:00:00Z
Guyana,Guyana National Statistics Strategy and Statistical Development,2006,Closed,"290,000",2006-08-31T00:00:00Z
Senegal,Quality Education for All Project - Phase 2,2006,Closed,"30,000,000",2006-08-30T00:00:00Z
Guatemala,Second Broad Based Growth Development Policy Loan,2006,Closed,"100,000,000",2006-08-29T00:00:00Z
Cameroon,Cameroon: Extractive Industries Tansparency Initiative Implementation,2006,Closed,"130,000",2006-08-28T00:00:00Z
Sudan,SD - National Emergency Transport Rehabilitation Project,2006,Closed,"137,180,000",2006-08-28T00:00:00Z
India,DFID Bihar Flood Management,2006,Closed,"560,000",2006-08-25T00:00:00Z
Nicaragua,NI ENHANCED COMPETITIVENESS FOR INTERNATIONAL MARKET INTEGRATION,2006,Closed,"17,000,000",2006-08-24T00:00:00Z
Paraguay,Road Maintenance,2006,Closed,"105,410,000",2006-08-24T00:00:00Z
"Congo, Rep.",Republic of Congo - Emergency  Reintegration Program,2006,Closed,"17,000,000",2006-08-22T00:00:00Z
India,India: Second National Tuberculosis Control Project,2006,Closed,"212,500,000",2006-08-22T00:00:00Z
India,India: Reproductive & Child Health Second Phase,2006,Closed,"2,232,000,000",2006-08-22T00:00:00Z
India,Karnataka Health System Development and Reform Project,2006,Closed,"206,480,000",2006-08-22T00:00:00Z
"Gambia, The",Updating of the Statistical Master Plan and Preparation of a Financing Strategy,2006,Closed,"60,000",2006-08-21T00:00:00Z
Kenya,Kenya Arid Lands Resource Management Project Emergency Additional Financing,2006,Closed,"67,000,000",2006-08-03T00:00:00Z
Madagascar,MG-Community Develop. Fund/ Additional Financing (FID IV) - Supplemental,2006,Closed,"19,100,000",2006-08-03T00:00:00Z
Haiti,HT Electricity Project,2006,Closed,"7,470,000",2006-08-03T00:00:00Z
Kyrgyz Republic,Second Village Investment Project,2006,Closed,"35,700,000",2006-08-03T00:00:00Z
India,Orissa Socio-Economic Development Loan/Credit II,2006,Closed,"225,000,000",2006-08-01T00:00:00Z
Burundi,BI - Economic Reform Support Grant (ERSG),2006,Closed,"60,000,000",2006-08-01T00:00:00Z
Ghana,eGhana,2006,Closed,"42,000,000",2006-08-01T00:00:00Z
Haiti,HT-School Feeding Program (TF056944 DGF),2006,Closed,"550,000",2006-07-27T00:00:00Z
Ukraine,Second Export Develoment Project,2006,Closed,"154,500,000",2006-07-27T00:00:00Z
Malawi,Health Sector Support Project - Additional Financing,2006,Closed,"6,000,000",2006-07-27T00:00:00Z
Ecuador,Rural Roads Project,2006,Closed,"58,800,000",2006-07-25T00:00:00Z
Colombia,CO-3rd Prog. Labor Reform and Social Development Policy Loan,2006,Closed,"300,000,000",2006-07-25T00:00:00Z
Ecuador,Rural and Small Towns Water Supply and Sanitation Project  II (PRAGUAS),2006,Closed,"79,000,000",2006-07-25T00:00:00Z
Ecuador,EC-Inclusion and Quality Education,2006,Closed,"43,000,000",2006-07-25T00:00:00Z
Iraq,Iraq: Household Survey and Policies for Poverty Reduction,2006,Closed,"6,600,000",2006-07-24T00:00:00Z
Nigeria,NG-CF Aba Cogeneration (FY06),2006,Closed,0,2006-07-19T00:00:00Z
Brazil,Additional Financing for the Rural Poverty Reduction Project - Piau&#237;,2006,Closed,"30,000,000",2006-07-18T00:00:00Z
Senegal,Local Authorities Development Program,2006,Closed,"157,000,000",2006-07-18T00:00:00Z
Mali,Education Sector Investment Program II,2006,Closed,"35,000,000",2006-07-18T00:00:00Z
Niger,Water Sector Project - Additional Financing,2006,Closed,"12,040,000",2006-07-18T00:00:00Z
Madagascar,Power Sector Improvement and Recovery,2006,Closed,"10,000,000",2006-07-13T00:00:00Z
Madagascar,Third Poverty Reduction Strategy Credit,2006,Closed,"40,000,000",2006-07-13T00:00:00Z
Kyrgyz Republic,Reducing Technical Barriers for Entrepreneurship and Trade,2006,Closed,"5,000,000",2006-07-13T00:00:00Z
Romania,MUNICIPAL SERVICES PROJECT,2006,Closed,"170,600,000",2006-07-13T00:00:00Z
World,Graduating the Poorest into Microfinance:  Linking Safety Nets with Fin Svcs,2006,Closed,"1,420,000",2006-07-11T00:00:00Z
Moldova,GOVERNMENT`S CENTRAL PUBLIC ADMINISTRATION REFORM (CPAR),2006,Closed,"6,150,000",2006-07-11T00:00:00Z
Argentina,AR Cordoba Road Infrastructure,2006,Closed,"75,000,000",2006-07-11T00:00:00Z
Mauritania,Public Sector Capacity Building Project,2006,Closed,"15,000,000",2006-07-06T00:00:00Z
Guinea-Bissau,GW-Support for Economic Management,2006,Closed,"1,200,000",2006-07-06T00:00:00Z
Bosnia and Herzegovina,Accelerating Enterprise Restructuring In Bosnia & Herzegovina through Active Portfolio Management of PIFs,2006,Closed,"2,690,000",2006-07-06T00:00:00Z
,GW-Donor Harmonization & PRSP (LICUS TF),2006,Closed,"100,000",2006-07-06T00:00:00Z
